datetime,label,direction,id,x,y,w,h,Color,ColorConf,Type,TypeConf
2019-06-14 02:00:00.800000,line1,up,18,334,177,55,64,White,0.8,SmallTruck,0.48
2019-06-14 02:00:00.900000,line1,up,46,317,207,34,38,White,0.54,Car,0.61
2019-06-14 02:00:02,line1,down,14,404,199,39,37,Blue,0.33,Car,0.39
2019-06-14 02:00:02.100000,line1,up,34,353,206,36,34,White,0.48,Car,0.58
2019-06-14 02:00:03,line2,up,118,539,434,79,63,White,0.87,Van,0.62
2019-06-14 02:00:03.200000,line1,down,66,409,202,31,30,Blue,0.36,Car,0.64
2019-06-14 02:00:04.100000,line1,down,90,410,207,29,27,Blue,0.61,Car,0.5
2019-06-14 02:00:04.800000,line1,down,114,440,200,33,26,Gray,0.32,Car,0.7
2019-06-14 02:00:04.900000,line2,down,14,654,430,70,72,Gray,0.39,Van,0.37
2019-06-14 02:00:05.200000,line1,down,110,409,204,31,28,Blue,0.3,Car,0.6
2019-06-14 02:00:05.400000,line1,up,118,351,205,33,31,White,0.68,SUV,0.4
2019-06-14 02:00:06,line2,up,162,541,441,79,69,Black,0.73,Car,0.92
2019-06-14 02:00:06.400000,line1,up,138,340,201,41,35,Blue,0.36,Car,0.38
2019-06-14 02:00:06.700000,line1,down,126,410,204,31,28,Gray,0.26,Car,0.62
2019-06-14 02:00:07.200000,line2,down,190,665,449,69,58,Black,0.48,SUV,0.57
2019-06-14 02:00:07.300000,line2,up,186,538,429,86,80,White,0.97,SUV,0.76
2019-06-14 02:00:08,line2,down,114,725,428,71,58,White,0.54,Car,0.76
2019-06-14 02:00:08.500000,line2,down,110,658,442,76,59,White,0.51,Car,0.59
2019-06-14 02:00:08.600000,line1,up,162,352,210,33,29,Blue,0.48,Car,0.85
2019-06-14 02:00:09.200000,line1,down,178,406,198,39,34,Blue,0.62,Car,0.49
2019-06-14 02:00:09.800000,line1,up,186,350,202,39,37,White,0.88,SUV,0.7
2019-06-14 02:00:10.100000,line2,down,126,658,438,69,56,White,0.52,Car,0.6
2019-06-14 02:00:11.200000,line1,down,214,439,199,35,29,Blue,0.32,Car,0.69
2019-06-14 02:00:11.300000,line2,up,270,531,421,96,84,Black,0.92,Car,0.77
2019-06-14 02:00:11.300000,line1,down,226,412,201,32,30,Blue,0.41,Car,0.59
2019-06-14 02:00:11.900000,line1,down,254,412,201,35,31,White,0.3,Car,0.58
2019-06-14 02:00:12,line1,up,250,325,169,66,66,White,0.84,SmallTruck,0.73
2019-06-14 02:00:12.300000,line2,down,178,659,429,64,59,Blue,0.52,Car,0.42
2019-06-14 02:00:12.800000,line1,down,262,447,199,32,26,Blue,0.28,Car,0.54
2019-06-14 02:00:13.500000,line1,up,270,350,201,37,34,Black,0.51,Car,0.54
2019-06-14 02:00:14,line2,up,326,461,441,81,77,Yellow,0.42,SmallTruck,0.49
2019-06-14 02:00:14.100000,line2,down,318,726,426,69,55,White,0.92,Car,0.51
2019-06-14 02:00:14.200000,line2,up,322,536,416,68,70,White,0.92,Van,0.46
2019-06-14 02:00:14.300000,line2,up,314,516,395,74,81,White,0.86,Van,0.5
2019-06-14 02:00:14.400000,line2,down,334,663,438,60,55,White,0.32,SmallTruck,0.83
2019-06-14 02:00:15,line2,down,354,693,438,75,58,White,0.98,SUV,0.41
2019-06-14 02:00:15.100000,line2,up,366,550,438,81,69,White,0.89,Car,0.48
2019-06-14 02:00:15.700000,line2,down,414,731,431,58,47,White,0.87,SUV,0.38
2019-06-14 02:00:16.300000,line1,down,286,441,198,38,31,Blue,0.41,Car,0.43
2019-06-14 02:00:16.400000,line1,up,322,352,201,35,38,White,0.76,SUV,0.41
2019-06-14 02:00:16.600000,line1,up,326,318,214,34,32,White,0.46,SUV,0.32
2019-06-14 02:00:16.700000,line1,down,338,409,201,36,32,Blue,0.39,Car,0.57
2019-06-14 02:00:17.500000,line1,up,366,355,204,34,31,White,0.82,Car,0.48
2019-06-14 02:00:18.100000,line1,down,422,415,204,32,27,White,0.3,Car,0.68
2019-06-14 02:00:19,line1,up,430,314,207,37,38,White,0.59,Van,0.32
2019-06-14 02:00:19.300000,line2,down,286,715,410,78,69,Gray,0.37,Car,0.29
2019-06-14 02:00:19.300000,line2,down,466,666,437,70,58,Black,0.33,SUV,0.62
2019-06-14 02:00:19.300000,line2,up,470,468,447,83,78,White,0.58,Car,0.69
2019-06-14 02:00:19.500000,line2,up,462,445,317,198,185,White,0.92,SmallTruck,0.68
2019-06-14 02:00:20.100000,line1,down,446,411,204,32,29,White,0.37,Car,0.66
2019-06-14 02:00:20.800000,line2,down,498,678,449,69,53,White,0.91,Car,0.66
2019-06-14 02:00:21.600000,line1,down,518,417,213,29,23,Blue,0.3,Car,0.76
2019-06-14 02:00:21.700000,line1,up,462,319,157,79,85,White,0.9,SmallTruck,0.66
2019-06-14 02:00:21.900000,line1,up,470,313,213,35,30,White,0.43,Car,0.77
2019-06-14 02:00:22.900000,line1,down,546,414,207,30,28,Blue,0.82,Car,0.29
2019-06-14 02:00:23,line2,up,538,471,439,71,66,Yellow,0.59,Car,0.54
2019-06-14 02:00:23.500000,line1,up,522,319,208,33,36,Blue,0.42,Car,0.52
2019-06-14 02:00:23.600000,line2,up,566,533,427,78,70,White,0.93,Car,0.55
2019-06-14 02:00:24.200000,line2,down,578,666,436,66,54,Black,0.81,Car,0.96
2019-06-14 02:00:25.300000,line1,down,554,407,200,33,34,Blue,0.29,Car,0.26
2019-06-14 02:00:25.600000,line1,up,538,320,211,35,32,White,0.39,Car,0.68
2019-06-14 02:00:25.900000,line1,up,566,353,199,36,37,White,0.73,Car,0.51
2019-06-14 02:00:26.600000,line2,up,626,527,431,80,67,White,0.91,Car,0.96
2019-06-14 02:00:27.200000,line2,up,646,531,423,86,73,Black,0.77,Car,0.54
2019-06-14 02:00:27.400000,line1,down,586,409,193,35,39,Blue,0.64,Car,0.25
2019-06-14 02:00:28,line2,down,654,668,426,76,76,White,1.0,Van,0.8
2019-06-14 02:00:28.500000,line1,down,606,434,176,45,50,Blue,0.68,Car,0.4
